tar,seq_length,Analysis,sig_acc,sig_desc,start,stop,e_value,All_Domains
KAG2986744.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2986744.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2986744.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3023905.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3023905.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3023905.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3023905.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3089192.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3089192.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3089192.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG3089192.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4057488.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4057488.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4057488.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4057488.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4240582.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4240582.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4240582.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG4240582.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
RQM15223.1,720,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",211,289,1.8e-7,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
RQM15223.1,720,Pfam,PF00168,C2 domain,116,170,3000,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
RQM15223.1,720,Pfam,PF00168,C2 domain,34,87,300,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
RQM15223.1,720,Pfam,PF00069,Protein kinase domain,380,639,1.7e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETP29656.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain"
ETP29656.1,713,Pfam,PF00168,C2 domain,31,84,370,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain"
ETP29656.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain"
KAJ0399516.1,672,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",211,289,5.5e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain, Protein kinase domain"
KAJ0399516.1,672,Pfam,PF00168,C2 domain,34,87,380,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain, Protein kinase domain"
KAJ0399516.1,672,Pfam,PF00069,Protein kinase domain,374,497,4.9e-18,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain, Protein kinase domain"
KAJ0399516.1,672,Pfam,PF00069,Protein kinase domain,498,591,6.7e-12,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain, Protein kinase domain"
KAF1315517.1,994,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,2.2e-8,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), COPI associated protein, Protein kinase domain"
KAF1315517.1,994,Pfam,PF08507,COPI associated protein,810,926,1.3e-7,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), COPI associated protein, Protein kinase domain"
KAF1315517.1,994,Pfam,PF00069,Protein kinase domain,364,630,3.1999999999999998e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), COPI associated protein, Protein kinase domain"
KAL0589881.1,856,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",298,379,6e-6,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAL0589881.1,856,Pfam,PF00069,Protein kinase domain,505,777,1.1e-52,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RLN45761.1,712,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",204,280,2.4e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RLN45761.1,712,Pfam,PF00069,Protein kinase domain,372,641,3.0999999999999996e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RLN60746.1,712,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",204,280,2.4e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RLN60746.1,712,Pfam,PF00069,Protein kinase domain,372,641,3.0999999999999996e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
CAI5708946.1,717,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",208,286,1.2e-7,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
CAI5708946.1,717,Pfam,PF00069,Protein kinase domain,377,636,5.799999999999999e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
CAI5708946.1,717,Pfam,PF00168,C2 domain,31,84,290,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
CAI5708946.1,717,Pfam,PF00168,C2 domain,113,167,3000,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
CEG44184.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",208,286,1.9e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
CEG44184.1,713,Pfam,PF00069,Protein kinase domain,373,632,1e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
CEG44184.1,713,Pfam,PF00168,C2 domain,31,84,1000,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
CEG44184.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE8906645.1,720,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,6.6e-10,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE8906645.1,720,Pfam,PF00069,Protein kinase domain,380,649,6.999999999999999e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE8906645.1,720,Pfam,PF00168,C2 domain,36,89,420,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE8906645.1,720,Pfam,PF00168,C2 domain,118,172,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9119711.1,720,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,6.6e-10,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9119711.1,720,Pfam,PF00069,Protein kinase domain,380,649,6.999999999999999e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9119711.1,720,Pfam,PF00168,C2 domain,36,89,420,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9119711.1,720,Pfam,PF00168,C2 domain,118,172,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9120489.1,720,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,6.6e-10,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9120489.1,720,Pfam,PF00069,Protein kinase domain,380,649,6.999999999999999e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9120489.1,720,Pfam,PF00168,C2 domain,36,89,420,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9120489.1,720,Pfam,PF00168,C2 domain,118,172,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9218912.1,612,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,5.2e-10,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9218912.1,612,Pfam,PF00069,Protein kinase domain,392,541,2.8e-27,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9218912.1,612,Pfam,PF00168,C2 domain,118,172,2300,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9218912.1,612,Pfam,PF00168,C2 domain,36,89,340,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9241218.1,720,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,6.6e-10,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9241218.1,720,Pfam,PF00069,Protein kinase domain,380,649,6.999999999999999e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9241218.1,720,Pfam,PF00168,C2 domain,36,89,420,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9241218.1,720,Pfam,PF00168,C2 domain,118,172,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9316548.1,720,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,6.6e-10,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9316548.1,720,Pfam,PF00069,Protein kinase domain,380,649,6.999999999999999e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9316548.1,720,Pfam,PF00168,C2 domain,36,89,420,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9316548.1,720,Pfam,PF00168,C2 domain,118,172,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain, C2 domain, C2 domain"
KAE9316601.1,670,Pfam,PF01363,FYVE zinc finger,436,485,0.0017,"FYVE zinc finger, Arb2 domain, C2 domain"
KAE9316601.1,670,Pfam,PF22749,Arb2 domain,12,221,1e-21,"FYVE zinc finger, Arb2 domain, C2 domain"
KAE9316601.1,670,Pfam,PF00168,C2 domain,286,381,6.6e-9,"FYVE zinc finger, Arb2 domain, C2 domain"
ETK86958.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETK86958.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETK86958.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETK86958.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETL40373.1,862,Pfam,PF01363,FYVE zinc finger,414,463,0.0025,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETL40373.1,862,Pfam,PF22749,Arb2 domain,3,198,1.2e-19,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETL40373.1,862,Pfam,PF00168,C2 domain,263,358,3.1e-8,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETL40373.1,862,Pfam,PF00069,Protein kinase domain,519,786,3.9e-67,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16820.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16820.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16820.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16820.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16821.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16821.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16821.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
ETP16821.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
KUF89047.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
KUF89047.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
KUF89047.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
KUF89047.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"FYVE zinc finger, Arb2 domain, C2 domain, Protein kinase domain"
GMF16228.1,806,Pfam,PF01363,FYVE zinc finger,360,409,0.0031,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
GMF16228.1,806,Pfam,PF22749,Arb2 domain,3,143,2.5e-11,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
GMF16228.1,806,Pfam,PF00069,Protein kinase domain,464,731,8.299999999999999e-68,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
GMF16228.1,806,Pfam,PF00168,C2 domain,208,303,8.7e-9,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAE9119902.1,882,Pfam,PF01363,FYVE zinc finger,436,485,0.002,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAE9119902.1,882,Pfam,PF22749,Arb2 domain,12,221,1.7e-21,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAE9119902.1,882,Pfam,PF00069,Protein kinase domain,540,807,6.9e-67,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAE9119902.1,882,Pfam,PF00168,C2 domain,286,381,9.8e-9,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAG2819240.1,886,Pfam,PF01363,FYVE zinc finger,438,487,3.5e-4,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAG2819240.1,886,Pfam,PF22749,Arb2 domain,13,222,9.4e-21,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAG2819240.1,886,Pfam,PF00069,Protein kinase domain,543,810,1.2e-66,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
KAG2819240.1,886,Pfam,PF00168,C2 domain,287,382,1.9e-8,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
RAW29522.1,886,Pfam,PF01363,FYVE zinc finger,438,487,3.5e-4,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
RAW29522.1,886,Pfam,PF22749,Arb2 domain,13,222,9.4e-21,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
RAW29522.1,886,Pfam,PF00069,Protein kinase domain,543,810,1.2e-66,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
RAW29522.1,886,Pfam,PF00168,C2 domain,287,382,1.9e-8,"FYVE zinc finger, Arb2 domain, Protein kinase domain, C2 domain"
ETL93525.1,862,Pfam,PF01363,FYVE zinc finger,414,463,0.0025,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETL93525.1,862,Pfam,PF00168,C2 domain,263,358,3.1e-8,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETL93525.1,862,Pfam,PF22749,Arb2 domain,3,198,1.2e-19,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETL93525.1,862,Pfam,PF00069,Protein kinase domain,519,786,3.9e-67,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETM46786.1,862,Pfam,PF01363,FYVE zinc finger,414,463,0.0025,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETM46786.1,862,Pfam,PF00168,C2 domain,263,358,3.1e-8,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETM46786.1,862,Pfam,PF22749,Arb2 domain,3,198,1.2e-19,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETM46786.1,862,Pfam,PF00069,Protein kinase domain,519,786,3.9e-67,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETP16822.1,862,Pfam,PF01363,FYVE zinc finger,414,463,0.0025,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETP16822.1,862,Pfam,PF00168,C2 domain,263,358,3.1e-8,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETP16822.1,862,Pfam,PF22749,Arb2 domain,3,198,1.2e-19,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
ETP16822.1,862,Pfam,PF00069,Protein kinase domain,519,786,3.9e-67,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
UIZ20658.1,878,Pfam,PF01363,FYVE zinc finger,437,486,0.0042,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
UIZ20658.1,878,Pfam,PF00168,C2 domain,287,382,3.1e-8,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
UIZ20658.1,878,Pfam,PF22749,Arb2 domain,22,222,1.3e-18,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
UIZ20658.1,878,Pfam,PF00069,Protein kinase domain,540,806,1.4e-66,"FYVE zinc finger, C2 domain, Arb2 domain, Protein kinase domain"
KAG4234383.1,862,Pfam,PF01363,FYVE zinc finger,414,463,3.4e-4,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAG4234383.1,862,Pfam,PF00168,C2 domain,263,358,1.8e-8,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAG4234383.1,862,Pfam,PF00069,Protein kinase domain,519,786,1.2e-66,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAG4234383.1,862,Pfam,PF22749,Arb2 domain,3,198,2e-19,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAI9998530.1,885,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAI9998530.1,885,Pfam,PF00168,C2 domain,287,382,1.2e-8,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAI9998530.1,885,Pfam,PF00069,Protein kinase domain,543,810,1.3e-66,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAI9998530.1,885,Pfam,PF22749,Arb2 domain,13,222,4.3e-20,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4114032.1,880,Pfam,PF01363,FYVE zinc finger,434,483,0.0019,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4114032.1,880,Pfam,PF00168,C2 domain,287,382,1.8e-8,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4114032.1,880,Pfam,PF00069,Protein kinase domain,538,804,4.4e-66,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4114032.1,880,Pfam,PF22749,Arb2 domain,11,222,1.2e-20,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4176886.1,880,Pfam,PF01363,FYVE zinc finger,434,483,0.0019,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4176886.1,880,Pfam,PF00168,C2 domain,287,382,1.8e-8,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4176886.1,880,Pfam,PF00069,Protein kinase domain,538,804,4.4e-66,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4176886.1,880,Pfam,PF22749,Arb2 domain,11,222,1.2e-20,"FYVE zinc finger, C2 domain, Protein kinase domain, Arb2 domain"
KAL4110224.1,880,Pfam,PF01363,FYVE zinc finger,434,483,0.0019,"FYVE zinc finger, Protein kinase domain, C2 domain, Arb2 domain"
KAL4110224.1,880,Pfam,PF00069,Protein kinase domain,538,804,4.4e-66,"FYVE zinc finger, Protein kinase domain, C2 domain, Arb2 domain"
KAL4110224.1,880,Pfam,PF00168,C2 domain,287,382,1.8e-8,"FYVE zinc finger, Protein kinase domain, C2 domain, Arb2 domain"
KAL4110224.1,880,Pfam,PF22749,Arb2 domain,11,222,1.2e-20,"FYVE zinc finger, Protein kinase domain, C2 domain, Arb2 domain"
CAM6032213.1,742,Pfam,PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),249,300,5.6e-15,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase C terminal domain, C2 domain, Protein kinase domain, Protein kinase domain"
CAM6032213.1,742,Pfam,PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),177,227,3.9e-13,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase C terminal domain, C2 domain, Protein kinase domain, Protein kinase domain"
CAM6032213.1,742,Pfam,PF00433,Protein kinase C terminal domain,720,742,0.14,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase C terminal domain, C2 domain, Protein kinase domain, Protein kinase domain"
CAM6032213.1,742,Pfam,PF00168,C2 domain,5,115,2.8e-12,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase C terminal domain, C2 domain, Protein kinase domain, Protein kinase domain"
CAM6032213.1,742,Pfam,PF00069,Protein kinase domain,420,545,9.800000000000001e-22,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase C terminal domain, C2 domain, Protein kinase domain, Protein kinase domain"
CAM6032213.1,742,Pfam,PF00069,Protein kinase domain,548,696,7.5e-30,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase C terminal domain, C2 domain, Protein kinase domain, Protein kinase domain"
MCO5598589.1,1188,Pfam,PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),562,613,2.8e-7,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase domain, Hr1 repeat, Hr1 repeat, Protein kinase C terminal domain"
MCO5598589.1,1188,Pfam,PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),494,543,1.5e-8,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase domain, Hr1 repeat, Hr1 repeat, Protein kinase C terminal domain"
MCO5598589.1,1188,Pfam,PF00069,Protein kinase domain,864,1121,9.999999999999998e-59,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase domain, Hr1 repeat, Hr1 repeat, Protein kinase C terminal domain"
MCO5598589.1,1188,Pfam,PF02185,Hr1 repeat,2,45,9.5e-5,"Phorbol esters/diacylglycerol binding domain (C1 domain), Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase domain, Hr1 repeat, Hr1 repeat, Protein kinase C terminal domain"
